id,Nombre_Articulo,Descripcion,Valor,Fecha_Creacion,Fecha_Modificacion
cbab5258-462a-5c85-1563-e8bd4795c233,"SPECIAL LIFE EXTRA FIRME 90*190 CL22",,500000,"2014-07-21 11:54:17","2014-07-21 11:54:17"
df7e5d2e-9604-04d5-0fa2-0efa73d871e2,"SPYRAL SENCILLO 100*190 CL25",,250000,"2014-07-21 11:54:39","2014-07-21 11:54:39"
